Start, End, Duration, Id
1527065124192189133, 1527065124297904827, 105715694, 1
1527065124296103870, 1527065125739502573, 1443398703, 2
1527065125737601772, 1527065139222090406, 13484488634, 3
1527065139217866888, 1527065140602812781, 1384945893, 4
1527065140602303835, 1527065159065746704, 18463442869, 5
1527065159065536143, 1527065160441889238, 1376353095, 6
1527065160441695060, 1527065178912881733, 18471186673, 7
1527065178912669702, 1527065180292912653, 1380242951, 8
1527065180292494675, 1527065198717770024, 18425275349, 9
